"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"309921","2.39593337","0.05687887","0.41737388","0.01705488","872","8","false","2885","56.77471264","871","0","0","0.89262051","false","1","2885","243716782","0.00756365"
"309922","2.91761705","5.4048E-4","0.34274546","0.08417997","55","9","false","817","101.75471698","54","0","0","0.852491","false","1","817","2487608","0.03334551"
"309924","3.04239196","8.5613E-4","0.32868875","0.06423034","45","9","false","4209","89.41860465","44","0","0","0.84289293","false","1","4209","3348524","0.0423667"
"309925","3.03841537","4.0923E-4","0.32911893","0.05121951","41","9","false","8751","98.80487805","41","0","0","0.84319882","false","0","8751","1788578","0.04465648"
"309927","3.00030012","1.3766E-4","0.33329999","0.09988386","42","9","false","347733","120.57142857","42","0","0","0.84613076","false","0","347733","935266","0.05147868"
"309929","2.85339136","3.2867E-4","0.35046016","0.47614453","254","9","false","6159","169.66535433","254","0","0","0.85743143","false","0","6159","4161690","0.05006122"
"309930","2.77190876","0.00297816","0.36076223","0.13221063","221","8","false","7533","100.73515982","220","0","0","0.86369933","false","1","7533","17371084","0.02448675"
"309932","3.06445078","6.19E-6","0.32632275","0.83406827","157","10","false","23398","171.52229299","157","0","0","0.84119609","false","0","23398","160120","0.09539616"
"309933","3.11044418","5.585E-5","0.32149749","0.89070568","84","10","false","2483","181.38095238","84","0","0","0.83765814","false","0","2483","421634","0.10230172"
"309935","3.33103241","2.2291E-4","0.30020723","0.06493506","24","9","false","10313","41.59090909","23","0","0","0.82068981","false","1","10313","772248","0.05193985"
"309936","3.50697779","8.03E-5","0.2851458","0.2","11","9","false","6252","40.90909091","11","0","0","0.80715555","false","0","6252","233028","0.10210142"
"309938","3.34191176","5.26E-6","0.29922992","0.33333333","7","9","false","259266","142.28571429","7","0","0","0.81985294","false","0","259266","25758","0.17419468"
"309939","2.83786014","0.0035581","0.35237818","0.03060403","152","9","false","5347","55.0","151","0","0","0.85862614","false","1","5347","14318372","0.01560619"
"309941","2.89383253","2.8657E-4","0.3455625","0.56092767","160","9","false","2058","181.50625","160","0","0","0.85432057","false","0","2058","2429736","0.05892654"
"309943","3.07435474","3.431E-5","0.32527151","0.56818182","33","9","false","10849","120.78787879","33","0","0","0.84043425","false","0","10849","231016","0.06056045"
"309944","3.21841236","7.284E-5","0.3107122","0.10333333","25","9","false","916","84.48","25","0","0","0.8293529","false","0","916","360778","0.06847844"
"309946","3.00637755","1.4632E-4","0.33262622","0.04347826","25","9","false","5110","177.47826087","24","0","0","0.84566327","false","1","5110","954052","0.07358416"
"309947","3.44215186","7.445E-5","0.29051594","0.01904762","21","9","false","7077","40.04761905","21","0","0","0.81214216","false","0","7077","322448","0.06482791"
"309949","2.94357743","5.7757E-4","0.33972268","0.66509434","160","9","false","11052","157.74375","160","0","0","0.85049404","false","0","11052","3189524","0.05763889"
"309950","2.92857143","6.4688E-4","0.34146341","0.60267364","186","10","false","57819","156.89247312","186","0","0","0.85164835","false","0","57819","3664236","0.05748098"
"309952","3.3539916","2.047E-5","0.29815221","0.17647059","19","9","false","114609","57.17647059","18","0","0","0.81892372","false","1","114609","92840","0.07579787"
"309953","2.57833133","0.01580744","0.38784775","0.02353677","422","8","false","7189","63.12380952","421","0","0","0.8785899","false","1","7189","72401884","0.01070963"
"309955","3.49512305","4.122E-5","0.28611296","0.0","10","10","false","26152","121.0","10","0","0","0.80806746","false","0","26152","199632","0.13856813"
"309957","3.5842587","1.33E-5","0.27899772","0.0","9","9","false","130502","39.88888889","9","0","0","0.80121087","false","0","130502","36080","0.11678345"
"309958","3.04411765","6.6298E-4","0.32850242","0.0177305","50","9","false","56658","81.125","49","0","0","0.84276018","false","1","56658","2876414","0.03765201"
"309960","3.27333433","1.3255E-4","0.30549889","0.16450216","22","8","false","23385","53.22727273","22","0","0","0.82512813","false","0","23385","472904","0.0561582"
"309961","3.81452581","0.0","0.26215578","1.0","2","9","false","84898","62.0","2","0","0","0.78349801","false","0","84898","0","0.58490566"
"309963","3.3162515","3.642E-5","0.30154528","0.225","18","9","false","10392","68.0625","17","0","0","0.82182681","false","1","10392","181876","0.09264305"
